Dish,Type,Servings,pork tenderloin,dry onion soup mix,water,red wine,garlic,soy sauce,skinless chicken breast,salt,yellow mustard,honey,corn syrup,mayonnaise,dried onion flakes,vegetable oil,mushrooms,colby-jack cheese,cond. cream of mushroom soup,pot roast,olive oil,salmon filet,potatoes,onion,butter,milk,cheddar cheese,cream cheese,sugar,egg,pumpkin puree,green beans(can),parmesan cheese,pineapple juice,flour,baking powder,pineapple,balsamic vinegar,ginger root,sweet potato,heavy cream,pecans,green beans(whole),garlic salt,cherry tomato,tofu,zucchini,red bell pepper,sriracha,sesame oil,jalapeno pepper,eggplant,peach(sliced),blackberry,Brussels sprouts,broccoli(head),9in pie crust,strawberry,blueberry,parsley,penne pasta,mozzarella cheese,lean ground beef,carrot,couscous
Pork Tenderloin,MM,6,2,1,1,0.75,0.1875,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aussie Chicken,MM,4,,,,,,,2,1,0.5,0.5,0.25,0.25,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awesome Slow Cooker Pot Roast,MM,12,,1,1.25,,,,,,,,,,,,,,2,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baked Salmon II,MM,2,,,,,0.125,,,1,,,,,,,,,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginger Glazed Mahi Mahi,MM,4,,,,,0.0625,1.5,,,,0.1875,,,,1,,,,,0.666666667,4,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Grilled Tofu Skewers with Sriracha Sauce,VM,2,,,,,,2,,,,,,,,,1,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,8,1,1,0.125,2,1,,,,,,,,,,,,,,
Grilled Vegetables with Balsamic Vinegar,VM,8,,,,,,2,,0.5,,,,,,,,,,,8,,,,,,,,,,,,,,,,,2,,,,,,,,,3,2,,,,2,,,,,,,,,,,,,
Creamy Au Gratin Potatoes,MVS,4,,,,,,,,0.5,,,,,,,,,,,,,4,1,0.1875,2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Green Beans,MVS,5,,,,,0.125,,,,,,,,,,,,,,3,,,,0.0625,,,,,,,2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gourmet Sweet Potato Classic,MVS,8,,,,,,,,0.25,,,,,,,,,,,,,,,0.25,,,,1.25,2,,,,,0.1875,,,,,5,2,0.5,,,,,,,,,,,,,,,,,,,,,,,
Green Beans with Cherry Tomatoes,MVS,6,,,1.5,,,,,,,,,,,,,,,,,,,,0.25,,,,0.0625,,,,,,,,,,,,,,1.5,0.5,2,,,,,,,,,,,,,,,,,,,,
Roasted Brussels Sprouts,MVS,6,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,
Roasted Garlic Lemon Broccoli,MVS,6,,,,,0.03125,,,1,,,,,,,,,,,0.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Double Layer Pumpkin Cheesecake,MVD,8,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.5,2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresh Pineapple Upside Down Cake,MVD,8,,,,,,,,1,,,,,,,,,,,,,,,0.75,,,,1.25,3,,,,0.75,1.5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peach and Blackberry Cobbler,MVD,4,,,,,,,,0.5,,,,,,,4,,,,,,,,0.5,1,,,1.25,,,,,,1.25,6,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,
Summer Fruit Galettes,MVD,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,,,,,,0.25,,,,,,,,,,,,,,,,,,1.5,,,,2,1,1,,,,,,
Pasta with Tomato and Bocconcini,VM,4,,,,,0.125,,,0.5,,,,,,,,,,,2,,,0.25,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,0.25,4,1,,,
Couscous,MVS,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Chunky Spiced Ground Beef Skillet Dinner,MM,4,,,,,0.125,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,0.5,,,,,,,,,,,,,,,1,2,
