ID,Ingredient,Unit of Measure,Cost,Green Cost,CAL,Fat (g),Na (mg),carb (g),Fiber (g),Protein(g),VA,VC,Ca,Fe
1,pork tenderloin,lb,24.95,23.139375,873,37.3,249.6,0,0,133.3,0.005,0.032,0.213,0.363
2,dry onion soup mix,oz,1.115,,40,0,1220,8,2,0,0,0,0,0
3,water,cup,0,,0,0,0,0,0,0,0,0,0,0
4,red wine,cup,12.28742667,,130,0,8,1.4,0,0.2,0,0,0.016,0.056
5,garlic,cup,5,,202.6,0.7,23.1,1.4,2.9,8.6,0,0.707,0.246,0.128
6,soy sauce,tbsp,0.05078125,,10,0,575,1,0,1,0,0,0,0
7,skinless chicken breast,lb,9.99,25.5490625,549.1,12.1,242.6,0,0,102.8,0.019,0.089,0.051,0.179
8,salt,tsp,0.025100402,,0,0,2325.5,0,0,0,0,0,0.001,0.001
9,yellow mustard,cup,0.532571429,4.03875,165,7.8,2800,19.5,8,9.9,0.066,0.121,0.2,0.257
10,honey,cup,2.119,3.636363636,1030.6,0,13.6,279.3,0.7,1,0,0.028,0.02,0.079
11,corn syrup,cup,1.25,,961,0.3,396.9,261.2,0,0,0,0,0.01,0.009
12,mayonnaise,cup,1.464,4.195,1438.8,159.9,1119,0,0,1.6,0.096,0,0.032,0.032
13,dried onion flakes,tbsp,0.567,0.96,7.6,0,0.6,1.7,0.4,0.2,0,0.021,0.004,0.002
14,vegetable oil,tbsp,0.033125,,123.8,14,0,0,0,0,0,0,0,0
15,mushrooms,cup,2.49,4.47,15.4,0.2,2.8,2.3,0.8,2.2,0,0.028,0.002,0.02
16,colby-jack cheese,cup,4.225,,1760,144,2880,16,0,112,0.96,0,3.2,0
17,cond. cream of mushroom soup,can(10.75oz),1.5,,259.3,18,1967.3,20.5,0,4.9,0.018,0,0.037,0.188
18,pot roast,lb,5.48,,1344,88,304,0,0,128,0,0,0.72,0.624
19,olive oil,tbsp,0.4976,0.5726,119.3,13.5,0,0,0,0,0,0,0,0.003
20,salmon filet,filet,3,6.995,438.4,19.6,134.1,0,0,61.2,0.025,0,0.047,0.178
21,potatoes,each,1.19,1.592,145.1,0.2,7.8,33.6,2.3,3.1,0,0.333,0.008,0.03
