"","Meal 1","Meal 5","Meal 6","Meal 7","Meal 8","Meal 9"
"Cost",12.4206944358124,5.00489233543715,5.00735845058333,4.03704140702487,5.79956536691667,5.22903483949987
"Green Cost",8.83982847225403,7.46837047986694,6.789525,4.82092472225403,4.57341666666667,3.93574722225403
"CAL",1157.48055556218,1103.67899307312,847.090625,703.366388895517,901.375,630.504513895517
"Fat (g)",47.4723958340833,46.3237500019875,45.25,40.28468750075,32.3302083333333,26.06718750075
"Na (mg)",1737.71744791667,1535.11833333333,1619.61145833333,1261.63614583333,826.516666666667,1006.83177083333
"carb (g)",138.369270833333,50.66171875,95.859375,69.649375,110.353125,128.646875
"Fiber (g)",11.2364583333333,9.93953125,10.634375,13.2221875,10.9666666666667,13.5428125
"Protien(g)",60.4533854166667,69.8767708333333,22.91875,24.1952083333333,18.4541666666667,32.9427083333333
"VA",3.7318125,0.976302083333333,0.91278125,1.22666145833333,102.842572916667,5.07773958333333
"VC",3.72446354166667,4.01011875,4.2635625,4.505015625,4.44848958333333,3.780296875
"Ca",0.309309895833333,0.300327083333333,0.412885416666667,0.434002083333333,1.90415625,14.8839270833333
"Fe",0.383765625000167,0.319851562500442,0.382041666666667,0.326331250000167,5.665875,23.2897812500002
