,1,2,3,4,5,6
D_1,5.24,5.24,3.28,3.28,0.00,0.00
D_2,0.00,0.00,0.00,0.00,0.00,0.00
D_3,0.00,0.00,0.00,0.00,0.00,4.51
D_4,0.93,0.93,0.16,0.16,0.16,0.00
D_5,0.61,0.61,3.33,3.33,4.96,0.00
D_6,0.00,0.00,0.00,0.00,0.00,0.00
D_7,3.94,3.94,3.94,3.94,3.94,3.96
D_8,0.00,0.00,0.00,0.00,0.00,0.00
D_9,0.00,0.00,0.00,0.00,0.00,0.00
D_10,0.00,0.00,0.00,0.00,0.00,0.00
D_11,24.59,24.59,24.76,24.76,23.87,0.00
D_12,0.00,0.00,0.00,0.00,0.00,0.00
D_13,0.00,0.00,0.00,0.00,0.00,20.21
D_14,8.97,8.97,8.97,8.97,8.97,6.22
D_15,0.00,0.00,0.00,0.00,0.00,3.78
D_16,1.03,1.03,1.03,1.03,1.03,0.00
D_17,0.00,0.00,0.00,0.00,0.00,0.00
D_18,0.17,0.17,0.18,0.18,0.06,0.04
D_19,0.00,0.00,0.00,0.00,0.00,0.00
D_20,0.00,0.00,0.00,0.00,1.65,1.77
