,1,2,3,4,5,6
X_1,0.000,0.000,0.000,0.000,0.000,0.000
X_2,0.873,0.873,0.547,0.547,0.000,0.376
X_3,7.019,7.019,6.737,6.737,5.968,0.470
X_4,0.654,0.654,0.410,0.410,0.000,0.000
X_5,0.237,0.237,0.170,0.170,0.141,0.162
X_6,3.831,3.831,3.874,3.874,2.847,0.989
X_7,0.000,0.000,0.000,0.000,0.000,0.000
X_8,0.861,0.861,0.479,0.479,0.465,4.094
X_9,0.000,0.000,0.000,0.000,0.000,0.000
X_10,0.000,0.000,0.000,0.000,0.000,0.000
X_11,0.000,0.000,0.000,0.000,0.000,0.000
X_12,0.000,0.000,0.000,0.000,0.000,0.000
X_13,0.000,0.000,0.000,0.000,0.000,0.000
X_14,0.153,0.153,0.832,0.832,1.653,0.443
X_15,0.000,0.000,0.000,1.031,1.031,0.000
X_16,0.000,0.000,0.000,0.000,0.000,0.000
X_17,0.000,0.000,0.000,0.000,0.000,0.752
X_18,0.000,0.000,0.000,0.000,0.000,2.068
X_19,0.000,0.000,0.000,0.000,0.000,6.225
X_20,0.000,0.000,0.000,0.000,0.000,0.000
X_21,0.000,0.000,0.000,0.000,0.000,0.000
X_22,0.011,0.011,0.011,0.011,0.415,0.446
X_23,0.000,0.000,0.000,0.000,0.000,0.355
X_24,0.000,0.000,0.000,0.000,0.000,0.000
X_25,0.000,0.000,0.000,0.000,0.000,0.000
X_26,0.000,0.000,0.000,0.000,0.000,0.583
X_27,0.000,0.000,0.000,0.000,0.000,0.980
X_28,0.000,0.000,0.000,0.000,0.000,2.973
X_29,0.561,0.561,0.561,0.561,0.561,0.389
X_30,0.000,0.000,0.000,0.000,0.000,0.000
X_31,0.000,0.000,0.000,0.000,0.000,0.000
X_32,0.000,0.000,0.000,0.000,0.000,0.355
X_33,0.000,0.000,0.000,0.000,0.000,0.709
X_34,1.547,1.547,1.547,1.547,1.547,0.945
X_35,0.000,0.000,0.000,0.000,0.000,0.473
X_36,0.000,0.000,0.000,0.000,0.000,0.989
X_37,0.153,0.153,0.832,0.832,1.241,0.000
X_38,0.000,0.000,0.000,0.000,0.000,0.000
X_39,0.000,0.000,0.000,0.000,0.000,0.000
X_40,0.000,0.000,0.000,0.000,0.000,0.000
X_41,0.000,0.000,0.000,0.000,0.000,0.000
X_42,2.049,2.049,2.063,2.063,1.989,0.000
X_43,0.000,0.000,0.000,0.000,0.000,0.929
X_44,0.000,0.000,0.000,0.000,0.000,0.000
X_45,0.000,0.000,0.000,0.000,0.000,1.484
X_46,0.000,0.000,0.000,0.000,0.000,1.211
X_47,0.000,0.000,0.000,0.000,0.000,0.000
X_48,0.000,0.000,0.000,0.000,0.000,0.000
X_49,0.000,0.000,0.000,0.000,0.000,0.000
X_50,0.000,0.000,0.000,0.000,0.000,0.989
X_51,0.000,0.000,0.000,0.000,0.000,0.000
X_52,0.258,0.258,0.258,0.258,0.258,0.000
X_53,0.000,0.000,0.000,0.000,0.000,0.000
X_54,0.000,0.000,0.000,0.000,0.000,6.737
X_55,0.000,0.000,0.000,0.000,0.000,0.000
X_56,0.000,0.000,0.000,0.000,0.000,0.000
X_57,0.000,0.000,0.000,0.000,0.000,0.000
X_58,0.000,0.000,0.000,0.000,0.000,0.003
X_59,0.000,0.000,0.000,0.000,0.000,0.042
X_60,0.043,0.043,0.044,0.044,0.015,0.011
X_61,0.000,0.000,0.000,0.000,0.411,0.443
X_62,0.000,0.000,0.000,0.000,0.000,0.886
X_63,0.000,0.000,0.000,0.000,0.000,0.000
XG_1,1.745,1.745,1.094,1.094,0.000,0.000
XG_7,0.000,0.000,0.000,0.000,0.000,0.000
XG_9,0.000,0.000,0.000,0.000,0.000,0.000
XG_10,0.029,0.029,0.156,0.156,0.233,0.000
XG_12,0.000,0.000,0.000,0.000,0.000,0.000
XG_13,0.000,0.000,0.000,0.000,0.000,0.000
XG_15,1.031,1.031,1.031,0.000,0.000,0.000
XG_19,6.915,6.915,5.076,5.076,5.291,0.000
XG_20,1.539,1.539,3.493,3.493,5.129,0.000
XG_21,0.000,0.000,0.000,0.000,0.000,0.000
XG_23,1.153,1.153,1.161,1.161,1.124,0.000
XG_24,0.258,0.258,0.258,0.258,0.258,0.000
XG_26,0.841,0.841,0.841,0.841,0.841,0.000
XG_27,1.139,1.139,1.141,1.141,1.131,0.000
XG_28,2.242,2.242,2.242,2.242,2.242,0.000
XG_32,0.000,0.000,0.000,0.000,0.000,0.000
XG_33,0.322,0.322,0.322,0.322,0.322,0.000
XG_36,1.443,1.443,3.481,3.481,4.709,0.000
XG_41,6.147,6.147,6.190,6.190,5.968,0.000
XG_43,8.367,8.367,8.429,8.429,8.839,0.000
XG_44,0.000,0.000,0.000,0.000,0.000,0.000
XG_45,1.478,1.478,1.478,1.478,1.478,0.000
XG_46,0.985,0.985,0.985,0.985,1.191,0.000
XG_50,0.985,0.985,0.985,0.985,0.985,0.000
XG_51,1.031,1.031,1.031,1.031,1.031,0.000
XG_56,0.000,0.000,0.000,0.000,0.000,0.000
XG_58,0.011,0.011,0.011,0.011,0.004,0.000
XG_59,0.171,0.171,0.175,0.175,0.060,0.000
XG_62,0.000,0.000,0.000,0.000,0.823,0.000
